compound_id	num_recognized_nodes	iso_class_idx
BGC0002068.0	0	155
NPA010675	5	391
NPA010676	3	392
BGC0000313.0	6	393
BGC0002055.0	0	155
NPA007003	7	394
NPA007002	2	395
NPA008338	5	396
NPA007005	3	397
BGC0000420.1	1	398
BGC0000420.0	2	399
BGC0001955.0	11	400
BGC0001955.1	10	401
BGC0001955.2	10	402
BGC0001955.3	10	403
BGC0000420.6	0	211
BGC0000420.5	0	211
BGC0000420.4	0	211
BGC0000420.3	0	211
BGC0000420.2	1	404
NPA008341	5	405
NPA009672	2	406
NPA023956	7	407
NPA023954	9	408
NPA023955	9	409
NPA023952	6	410
NPA023953	8	411
NPA023950	8	412
NPA023951	6	413
NPA009675	2	414
BGC0001047.0	4	415
NPA010656	5	416
BGC0002950.2	3	417
BGC0001822.2	7	418
NPA020036	8	419
NPA021368	5	420
BGC0001822.1	8	421
NPA021367	5	422
NPA020038	17	423
BGC0001822.3	8	424
NPA020039	6	425
NPA021369	5	426
BGC0002950.1	4	427
BGC0001822.0	7	428
BGC0002950.0	3	429
NPA021371	5	430
NPA020040	8	419
NPA021370	5	431
BGC0000446.0	0	432
NPA020041	8	419
BGC0000446.1	1	433
NPA020042	17	423
BGC0000446.2	0	432
BGC0000446.3	0	432
BGC0000446.4	0	432
NPA019056	20	434
NPA022688	6	435
NPA007079	3	436
NPA020026	8	437
NPA007078	20	438
NPA022689	6	435
NPA021353	11	439
NPA021352	11	440
BGC0002340.3	0	441
NPA022691	6	442
NPA022690	6	435
NPA021362	11	443
NPA021361	10	444
NPA022692	6	445
BGC0002340.0	0	441
BGC0002340.2	0	441
BGC0002473.2	2	446
NPA021349	10	447
BGC0002473.0	2	446
BGC0002473.1	3	448
NPA021348	10	449
BGC0001692.0	0	450
NPA007048	5	451
BGC0001034.0	1	452
BGC0001034.1	1	452
NPA021351	10	453
NPA021350	10	454
BGC0001702.0	0	159
BGC0003074.2	5	455
BGC0003074.3	5	456
BGC0003074.4	5	456
BGC0003074.5	5	456
NPA008385	3	457
NPA007054	5	458
NPA022669	7	459
NPA023999	4	460
NPA022668	7	461
BGC0000300.0	7	303
BGC0000433.0	7	462
NPA022671	7	463
NPA022670	7	464
NPA019021	7	465
NPA019024	12	466
NPA019029	8	467
BGC0003074.0	5	455
NPA019027	3	257
BGC0003074.1	5	455
BGC0002749.0	0	159
BGC0000339.0	10	468
NPA019091	2	469
BGC0001225.0	2	470
NPA004829	4	471
NPA016801	6	472
BGC0000971.0	0	159
BGC0001358.0	8	27
BGC0001358.1	8	27
NPA021399	2	473
NPA020068	3	474
NPA021398	4	475
NPA019081	6	476
BGC0000459.1	8	477
BGC0000459.0	2	478
NPA004837	9	479
NPA004834	7	480
BGC0000984.0	9	481
BGC0000984.1	9	482
NPA021386	4	483
PNPdb04101	7	484
PNPdb04102	7	485
NPA021387	3	486
PNPdb04100	7	487
NPA004804	6	488
NPA004801	5	489
BGC0001345.1	2	446
BGC0001345.0	2	446
PNPdb04112	4	490
PNPdb04110	7	491
PNPdb04111	9	492
NPA004810	7	493
PNPdb04105	9	494
PNPdb04106	7	491
PNPdb04104	8	495
PNPdb04109	4	496
PNPdb04107	8	51
PNPdb04108	7	497
NPA004816	7	498
BGC0001750.0	0	499
NPA015527	7	500
NPA027509	6	130
NPA027508	7	501
NPA027507	7	502
PNPdb04120	4	503
NPA027506	7	504
NPA027505	7	505
NPA027504	7	506
PNPdb04123	8	507
NPA027503	7	508
PNPdb04124	9	509
NPA002211	6	510
NPA027502	7	511
PNPdb04121	4	490
NPA004871	18	512
NPA027501	7	513
NPA027511	6	129
NPA027510	7	514
PNPdb04117	9	515
NPA028834	7	516
PNPdb04114	5	517
NPA004864	3	518
NPA028835	7	519
PNPdb04115	10	520
NPA004869	7	521
NPA028836	7	522
NPA028837	7	523
PNPdb04118	10	524
PNPdb04119	9	525
NPA002209	8	526
NPA015530	6	527
BGC0000326.0	4	528
BGC0002989.0	5	529
BGC0002295.0	0	159
PNPdb04130	4	503
BGC0002295.1	0	159
PNPdb04132	9	530
NPA027500	7	531
PNPdb04127	11	532
NPA004877	12	533
NPA028823	7	534
NPA028824	7	535
PNPdb04126	10	536
NPA028825	7	537
BGC0001212.0	2	538
PNPdb04129	8	539
NPA015521	7	540
BGC0002976.0	11	541
BGC0002976.1	11	541
NPA016831	7	542
NPA016839	2	543
PNPdb04140	10	544
PNPdb04145	9	492
NPA020099	4	545
PNPdb04146	10	546
NPA028810	3	547
NPA028811	4	548
PNPdb04139	7	549
NPA004841	4	550
NPA028812	3	551
PNPdb04136	12	552
NPA028813	3	553
PNPdb04137	10	544
NPA028814	3	553
NPA003514	6	554
NPA028815	2	555
NPA004845	5	556
NPA028816	3	557
NPA028817	3	557
NPA028819	7	558
NPA016821	4	559
NPA016824	18	560
BGC0002042.2	0	561
PNPdb04153	4	562
BGC0002042.0	0	561
BGC0000997.0	3	563
PNPdb04150	8	564
BGC0002042.1	0	561
PNPdb04151	8	565
BGC0000997.2	3	563
PNPdb04156	11	566
BGC0000997.1	3	563
PNPdb04157	10	567
PNPdb04154	8	568
PNPdb04155	9	55
NPA004855	9	569
NPA028800	6	570
NPA003524	8	571
NPA028801	6	572
PNPdb04147	10	573
NPA028802	6	574
NPA028803	6	575
NPA028804	6	576
NPA028805	6	577
NPA028806	3	578
NPA028807	2	579
NPA028808	3	580
BGC0001332.0	3	581
NPA028809	3	582
PNPdb04042	9	583
PNPdb04043	8	584
NPA027429	4	585
NPA028760	7	586
PNPdb04040	6	587
NPA027428	4	588
NPA028761	7	589
NPA003463	2	590
NPA027427	4	591
NPA028762	6	592
PNPdb04046	9	593
NOR00020	12	594
NPA027426	4	595
NPA028763	7	596
PNPdb04047	9	597
NOR00021	12	354
NPA027425	4	598
NPA028764	7	599
BGC0000373.0	0	441
NOR01353	10	600
NPA028765	6	601
PNPdb04045	8	602
NPA027434	6	554
NPA028755	7	603
PNPdb04039	7	604
NPA028756	7	605
NPA028757	7	606
PNPdb04037	9	607
NPA028758	7	608
PNPdb04038	9	609
NPA027430	4	610
NPA028759	7	611
NOR00018	12	612
NPA016782	9	613
BGC0002892.0	5	614
NPA015454	6	325
NPA015455	19	615
NPA016767	8	616
NPA015439	5	617
NPA003470	9	618
PNPdb04054	9	619
NPA003471	8	620
NPA028750	7	621
NPA028751	7	622
NOR01362	19	623
NPA028752	7	624
NPA028753	7	625
PNPdb04055	7	626
NOR00033	11	627
NPA028754	7	628
NOR01354	6	629
NPA028744	7	630
NPA028745	7	631
NPA028746	7	632
PNPdb04048	10	633
NPA028747	7	634
PNPdb04049	8	635
NPA028748	7	636
NOR00028	11	637
NPA028749	7	638
NOR00029	11	639
NPA016771	4	640
NPA016774	6	641
NPA016754	5	642
NPA015425	2	643
NPA016759	8	644
PNPdb04060	8	495
PNPdb04061	8	645
BGC0003147.0	0	159
NPA027409	2	646
PNPdb04064	4	271
NPA027408	6	647
NPA027407	6	648
PNPdb04062	9	649
NPA027406	14	650
NPA002110	12	651
NPA028740	7	652
NPA003440	2	653
NPA027404	7	654
NPA028741	7	655
NPA028742	7	656
NPA028743	7	657
PNPdb04067	9	658
NPA002103	15	659
NPA004766	20	660
NPA028733	7	661
NPA002102	2	662
NPA028734	6	663
NPA027410	2	646
NPA028735	7	664
PNPdb04059	8	665
NPA028736	7	666
NPA028737	7	667
NPA028738	7	668
NPA028739	7	669
NPA015433	3	257
NPA016743	2	670
BGC0000386.3	9	671
PNPdb04071	7	672
NPA016747	3	673
PNPdb04075	8	674
BGC0000386.0	4	675
BGC0000386.1	5	676
BGC0000386.2	4	675
PNPdb04074	8	677
PNPdb04079	9	678
NPA028730	7	679
NOR00010	20	680
NPA004782	7	247
NPA028731	7	681
PNPdb04077	7	682
NPA028732	7	683
PNPdb04078	9	684
NOR00001	13	685
NPA027401	4	686
NPA028722	6	687
NPA004778	14	688
NPA027400	4	689
NPA028723	7	690
NPA028724	6	691
NPA028725	7	692
NPA028726	7	693
NOR00006	3	694
NPA028727	7	695
NOR00007	20	696
NPA028728	7	697
NPA028729	7	698
PNPdb01809	6	699
PNPdb04082	7	700
NPA002170	7	701
PNPdb04080	9	702
PNPdb04081	8	703
PNPdb04086	7	704
PNPdb04087	8	705
NPA002174	15	706
PNPdb04085	9	707
NOR01394	9	708
NOR00064	5	709
NOR00065	6	710
NPA027469	3	711
BGC0001630.0	5	179
NOR00066	5	712
NPA027468	3	711
PNPdb04089	7	484
NPA027478	4	713
NPA028799	6	714
NPA027477	3	715
NOR01389	5	716
NPA027476	3	715
NPA027475	4	717
NPA027474	4	717
NPA027473	4	718
NPA015490	2	719
NPA027472	4	718
NPA027471	4	718
PNPdb01800	4	720
NPA027470	4	718
PNPdb01801	3	721
NPA014162	2	722
PNPdb01802	4	723
NPA014163	2	724
NPA015495	2	590
NPA014165	6	348
NPA014166	2	725
PNPdb01806	5	726
PNPdb01807	6	727
NPA015499	16	728
PNPdb01808	6	729
PNPdb04091	9	707
NPA028790	8	730
NPA028791	8	731
PNPdb04097	7	485
NOR00071	5	451
NPA028792	8	732
PNPdb04098	3	267
BGC0000360.0	0	561
NPA028793	6	733
PNPdb04095	7	734
NOR00073	5	735
NPA028794	7	736
PNPdb04096	7	737
NPA002187	5	738
NPA028795	7	739
NOR00075	6	740
NPA027459	9	741
NPA028796	8	742
NPA027458	9	743
NPA028797	6	744
PNPdb04099	7	700
NOR00077	5	709
NPA027457	9	745
NPA028798	6	746
NOR00067	6	747
NPA028788	8	748
NOR00068	5	749
NPA027466	6	750
NPA028789	8	751
NPA027465	6	752
NPA027464	6	753
NPA027463	6	754
NPA027462	6	755
NPA027461	6	756
PNPdb01810	6	757
NPA027460	6	758
PNPdb01811	7	759
PNPdb01812	6	760
PNPdb01813	6	761
PNPdb01814	7	762
PNPdb01815	7	763
PNPdb01816	4	764
NPA014155	3	765
PNPdb01817	2	643
PNPdb01818	9	766
PNPdb01819	8	767
NPA014136	6	768
BGC0002412.0	0	441
BGC0001095.0	10	224
NPA028780	6	769
NPA028781	6	770
NPA028782	6	771
NOR00040	11	627
NPA002151	5	772
NPA028783	6	773
NOR00041	11	774
NPA028784	6	775
NPA028785	6	776
NOR00043	11	777
NPA027447	7	778
NPA028786	6	779
NOR01375	5	676
NPA027446	6	780
NPA028787	8	781
NOR00034	11	782
NOR01365	8	783
NPA027456	9	784
NPA028777	6	785
NOR00035	11	786
NPA027455	9	784
NPA028778	5	787
BGC0000921.0	1	788
NOR00036	11	789
NPA027454	9	790
NPA028779	5	791
NOR00037	11	792
NPA027453	9	793
BGC0003001.7	2	794
NOR00038	11	795
NPA027452	9	741
BGC0003001.6	2	796
NOR00039	11	797
NPA027451	3	798
BGC0003001.9	2	799
NPA027450	3	800
BGC0003001.8	2	794
BGC0003001.3	2	796
PNPdb01823	14	801
BGC0003001.2	2	802
PNPdb01824	14	803
BGC0003001.5	2	796
NPA014141	3	804
PNPdb01825	3	805
BGC0003001.4	2	794
NPA015474	3	806
PNPdb01828	3	807
BGC0003001.1	2	808
PNPdb01829	3	809
BGC0001763.0	6	810
BGC0003001.0	2	799
BGC0003001.11	3	811
BGC0003001.10	2	799
BGC0001919.0	3	812
NPA003490	6	813
BGC0001105.0	1	814
NPA003492	3	267
NPA027439	8	815
NPA027438	7	816
NPA027437	8	817
NOR01385	9	818
NPA027436	7	819
NPA027435	6	820
NPA028776	5	821
NOR01376	4	675
NPA027445	7	822
NOR01377	9	671
NPA027444	7	823
BGC0002617.1	1	824
NPA027443	7	825
BGC0002617.0	1	826
NPA027442	7	827
NPA027441	6	828
PNPdb01830	4	829
NPA027440	7	822
PNPdb01831	3	830
PNPdb00501	8	831
PNPdb00502	5	832
PNPdb01833	4	833
PNPdb00503	11	834
PNPdb01834	5	726
PNPdb00504	13	197
PNPdb01835	4	835
PNPdb00506	6	836
PNPdb01838	5	837
NPA015464	8	838
PNPdb00508	3	839
PNPdb01839	6	840
NPA015465	11	841
BGC0001429.0	5	716
BGC0002474.0	5	842
BGC0001033.1	6	843
NPA011918	3	844
BGC0001033.2	5	845
BGC0001033.3	5	846
PNPdb01840	6	847
PNPdb00510	3	848
PNPdb01841	6	757
PNPdb00511	3	849
PNPdb01842	6	850
PNPdb00512	4	851
PNPdb01843	8	852
BGC0001033.0	6	853
PNPdb00513	5	735
PNPdb01844	8	854
PNPdb00514	5	855
PNPdb01845	8	856
PNPdb01846	10	198
PNPdb00516	5	617
PNPdb01847	2	643
PNPdb00517	4	857
PNPdb01848	8	858
PNPdb00518	4	859
PNPdb01849	11	860
PNPdb00519	7	861
NPA009608	7	862
NPA011928	18	863
PNPdb01850	13	864
PNPdb00520	7	865
PNPdb00521	7	866
PNPdb01852	7	145
PNPdb00522	6	867
PNPdb01853	14	868
NPA014192	5	772
PNPdb00523	6	869
NPA014193	6	870
PNPdb00525	9	871
PNPdb01856	3	872
NPA011920	7	873
NPA014195	8	874
PNPdb00526	7	875
PNPdb00527	7	876
PNPdb01858	3	877
PNPdb00528	6	878
PNPdb01859	4	879
PNPdb00529	7	880
BGC0001153.0	10	881
NPA002194	2	882
NPA002195	4	883
NOR00086	5	709
NOR00087	5	712
BGC0001821.0	2	884
NOR00078	5	451
NOR00079	6	885
NPA027499	7	886
NPA027498	7	887
PNPdb00530	8	495
PNPdb01861	2	888
NPA027497	6	889
PNPdb00531	11	367
NPA027496	6	890
PNPdb01863	4	891
NPA027495	7	892
PNPdb01864	4	893
NPA027494	7	894
PNPdb00534	10	175
PNPdb01865	6	895
NPA027493	7	896
PNPdb00535	11	336
PNPdb01866	7	897
NPA027492	7	898
PNPdb00536	12	899
PNPdb01867	6	488
NPA027491	7	900
PNPdb01868	6	901
NPA014185	6	902
NPA027490	7	903
PNPdb01869	6	904
NPA014186	5	905
BGC0000409.0	0	432
NOR00092	6	906
NOR00093	6	907
NOR00094	6	908
NOR00095	6	909
NOR00096	5	910
NOR00097	5	911
NOR00098	6	910
NPA011909	2	912
NOR00099	6	911
NPA027479	4	713
PNPdb01880	9	913
NPA011907	9	914
NPA027489	7	915
PNPdb01870	7	916
NPA027488	7	917
PNPdb01871	6	918
NPA011905	4	919
NPA027487	7	920
PNPdb00541	4	921
PNPdb01872	6	761
NPA027486	7	922
PNPdb00542	3	923
PNPdb01873	3	924
PNPdb01874	7	925
BGC0001020.0	3	926
PNPdb00544	3	927
BGC0002532.0	4	928
PNPdb00545	3	929
PNPdb01876	6	348
NPA027482	4	713
PNPdb00546	5	712
PNPdb01877	8	930
NPA027481	4	931
PNPdb00547	5	932
PNPdb01878	8	933
NPA027480	4	934
PNPdb00548	6	935
NPA014174	8	705
PNPdb00549	5	936
NPA022615	2	937
NPA022614	2	937
NPA008310	8	938
PNPdb01890	5	939
PNPdb00560	6	940
PNPdb01891	3	941
PNPdb01881	11	942
PNPdb00551	6	943
PNPdb01882	11	944
PNPdb01883	13	945
PNPdb00553	4	946
PNPdb01884	9	947
NPA009637	7	948
PNPdb00554	2	949
PNPdb01885	8	950
PNPdb00555	7	951
PNPdb01886	14	952
PNPdb00557	8	953
PNPdb01888	2	954
PNPdb00558	7	498
NPA010623	13	955
PNPdb00559	6	956
NPA022607	11	957
NPA022604	11	958
NPA022603	11	959
NPA022606	11	960
NPA022605	11	961
NPA008321	4	962
PNPdb00570	9	963
PNPdb00571	7	964
PNPdb01892	3	290
PNPdb00562	3	965
PNPdb01893	5	966
PNPdb00563	7	967
BGC0002367.0	5	968
PNPdb00564	7	969
PNPdb01895	6	970
NPA010637	8	971
NPA011969	7	972
PNPdb00565	6	973
PNPdb01896	4	99
NPA010638	2	974
PNPdb00566	7	327
PNPdb01897	4	562
PNPdb00567	7	875
PNPdb01898	6	975
PNPdb00568	7	976
PNPdb00569	5	977
NPA011960	4	978
BGC0002247.0	0	159
BGC0000399.1	10	227
NPA023926	6	979
BGC0002915.0	5	980
BGC0000399.0	10	227
BGC0002247.3	0	159
PNPdb00580	4	921
BGC0002247.1	0	159
BGC0002247.2	0	159
PNPdb00572	10	981
PNPdb00573	11	367
PNPdb00574	9	55
PNPdb00575	10	175
NPA009615	6	162
PNPdb00576	11	982
NPA010605	6	983
PNPdb00577	6	836
BGC0002091.0	0	441
NPA010602	6	984
PNPdb00578	14	985
NPA011933	3	257
NPA010600	9	142
BGC0001393.0	7	986
NPA023919	4	987
PNPdb00590	6	911
NPA009630	2	988
PNPdb00591	6	989
PNPdb00592	4	990
NPA008301	4	991
PNPdb00593	7	314
BGC0002114.1	1	992
PNPdb00583	5	993
BGC0002114.0	1	992
PNPdb00584	5	994
NPA011949	8	195
PNPdb00585	5	995
NPA010618	12	996
NPA009627	5	997
PNPdb00588	4	946
NPA010613	2	998
PNPdb00589	5	999
BGC0002114.6	1	992
BGC0002114.5	1	992
BGC0002114.4	1	992
BGC0002114.3	1	992
BGC0002114.2	1	1000
BGC0000312.0	8	1001
NPA009561	3	1002
NPA008236	4	297
BGC0002056.0	0	159
PNPdb00480	6	1003
PNPdb00481	6	1004
PNPdb00482	5	1005
PNPdb00474	5	1006
PNPdb00475	3	849
PNPdb00476	4	1007
PNPdb00477	6	1008
PNPdb00478	4	859
NPA010547	18	1009
NPA010540	7	1010
NPA011891	10	1011
NPA022527	4	1012
NPA022529	4	1013
NPA022528	4	1012
PNPdb00491	7	875
PNPdb00492	8	1014
PNPdb00493	9	1015
NPA023850	11	1016
BGC0000432.1	2	1017
PNPdb00484	6	1018
BGC0000432.2	3	765
PNPdb00485	6	264
BGC0000432.3	4	1019
PNPdb00486	7	866
PNPdb00487	7	314
PNPdb00488	7	465
BGC0001331.6	4	1020
PNPdb00489	3	1021
