InChiKey_prefix	ID_1	Name_1	Source_1	SMILES_1	ID_2	Name_2	Source_2	SMILES_2	InChiKey_2	Comment
VJXBYUITQBTTQM	BGC0000964.1	burkholdac B	MIBiG4.0rc1	CCC(C)C1C(CC(=O)OC\2CC(=O)NC(C(=O)NC(CSSCC/C=C2)C(=O)N1)CCSC)O	NPA015955	Thailandepsin A	NPAtlas	CCC(C)[C@@H]1[C@H](CC(=O)O[C@H]2CC(=O)N[C@@H](C(=O)N[C@H](CSSCCC=C2)C(=O)N1)CCSC)O	VJXBYUITQBTTQM-YIRSYDPWSA-N	https://pubmed.ncbi.nlm.nih.gov/22091906/
PJKVJJDQXZARCA	BGC0000995.0	FR901464	MIBiG4.0rc1	CC(OC(C)=O)\C=C/C(=O)NC1CC(C)C(C\C=C(/C)\C=C\C2OC(C)(O)CC3(CO3)C2O)OC1C	BGC0001096.0	FR901464	MIBiG4.0rc1	C[C@H]1C[C@H]([C@H](O[C@H]1C/C=C(\C)/C=C/[C@@H]2[C@H]([C@@]3(C[C@@](O2)(C)O)CO3)O)C)NC(=O)/C=C\[C@H](C)OC(=O)C	PJKVJJDQXZARCA-QHYZBLTGSA-N	names match
DGKUOWHAUIWQTM	BGC0001011.0	meridamycin	MIBiG4.0rc1	CC\C1=C/CC(OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC2C)CC(O)C(C)C(O)CC(O)CC(O)\C(C)=C\C(C)CC(C)C1O)C(\C)=C\C(C)C(C)O	BGC0001012.0	meridamycin	MIBiG4.0rc1	CC\C1=C/C[C@H](OC(=O)C2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H](CC[C@H]2C)C[C@H](O)[C@H](C)[C@@H](O)C[C@@H](O)C[C@H](O)\C(C)=C/[C@@H](C)CC(C)[C@@H]1O)C(\C)=C\[C@@H](C)[C@@H](C)O	DGKUOWHAUIWQTM-XRWXWOGSSA-N	names match
NODOLTRBPIFGCQ	BGC0001327.0	rakicidin A	MIBiG4.0rc1	CC(C)CCCCCCCCCCCC(C)C1OC(=O)C(NC(=O)CN(C)C(=O)\C=C/C(=C)NC(=O)C1C)C(O)C(N)=O	BGC0001328.0	rakicidin A	MIBiG4.0rc1	CN(CC(N[C@@H]([C@@H](C(N)=O)O)C(OC([C@H](C)CCCCCCCCCCCC(C)C)[C@H](C)C(N1)=O)=O)=O)C(/C=C/C1=C)=O	NODOLTRBPIFGCQ-CEIJAINISA-N	names match
AKYUFOZFLOQQQL	BGC0001327.1	rakicidin B	MIBiG4.0rc1	CC(C)CCCCCCCCCCCCC(C)C1OC(=O)C(NC(=O)CN(C)C(=O)\C=C/C(=C)NC(=O)C1C)C(O)C(N)=O	BGC0001328.1	rakicidin B	MIBiG4.0rc1	CN(CC(N[C@@H]([C@@H](C(N)=O)O)C(OC([C@H](C)CCCCCCCCCCCCC(C)C)[C@H](C)C(N1)=O)=O)=O)C(/C=C/C1=C)=O	AKYUFOZFLOQQQL-ATABALJVSA-N	names match
YHMLVTRWZBFDAT	BGC0001330.0	BE-43547A1	MIBiG4.0rc1	CC1C(OC(=O)CN(C(=O)/C=C/C(=C)NC(=O)CNC(=O)C(C1=O)(C)O)C)CCCCCCCCCCC(C)C	BGC0001331.0	BE-43547A1	MIBiG4.0rc1	O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCC(C)C)[C@@H]1C)=O)=O)=C	YHMLVTRWZBFDAT-KLSYSPJQSA-N	names match
SAJNCFZAPSBQTQ	BGC0001344.3	tubulysin D	MIBiG4.0rc1	CCC(C)C(NC(=O)C1CCCCN1C)C(=O)N(COC(=O)CC(C)C)C(CC(OC(C)=O)C1=NC(=CS1)C(=O)NC(CC(C)C(O)=O)CC1=CC=CC=C1)C(C)C	NPA013309	Tubulysin D	NPAtlas	CC[C@H](C)[C@H](NC(=O)[C@H]1CCCCN1C)C(=O)N(COC(=O)CC(C)C)[C@H](C[C@@H](OC(C)=O)C1=NC(C(=O)N[C@@H](CC2=CC=CC=C2)C[C@H](C)C(=O)O)=CS1)C(C)C	SAJNCFZAPSBQTQ-HZZFHOQESA-N	names match
FOAIGCPESMNWQP	BGC0001358.0	leucinostatin A	MIBiG4.0rc1	CCC(C)/C=C/C(=O)N1CC(CC1C(=O)NC(CC(C)CC(CC(=O)CC)O)C(=O)NC(C(C(C)C)O)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCCC(=O)NC(C)CN(C)C)C	PNPdb04459->PubChem:156012899	Leucinostatin A	PubChem	CC[C@H](C)/C=C/C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H](C[C@H](C)C[C@@H](CC(=O)CC)O)C(=O)N[C@@H]([C@@H](C(C)C)O)C(=O)NC(C)(C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCCC(=O)N[C@@H](C)CN(C)C)C	FOAIGCPESMNWQP-TXVCAPCZSA-N	https://pubchem.ncbi.nlm.nih.gov/compound/156012899
JLDCSWRYRVBFRU	BGC0001358.1	leucinostatin B	MIBiG4.0rc1	CCC(C)/C=C/C(=O)N1CC(CC1C(=O)NC(CC(C)CC(CC(=O)CC)O)C(=O)NC(C(C(C)C)O)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCCC(=O)NC(C)CNC)C	PNPdb04451->PubChem:139589316	Leucinostatin B	PubChem	CC[C@@H](C)/C=C\C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@H](C[C@@H](C)C[C@@H](CC(=O)CC)O)C(=O)N[C@@H]([C@H](C(C)C)O)C(=O)NC(C)(C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCCC(=O)N[C@@H](C)CNC)C	JLDCSWRYRVBFRU-NKRVIGJNSA-N	https://pubchem.ncbi.nlm.nih.gov/compound/139589316
UIFFUZWRFRDZJC	BGC0001455.0	antimycin A1B	MIBiG4.0rc1	CCCCCCC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C	BGC0000958.0	antimycin	MIBiG4.0rc1	CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C	UIFFUZWRFRDZJC-SBOOETFBSA-N	https://pubmed.ncbi.nlm.nih.gov/29795673/
