ser	ala	6
thr	abu	6
orn	unknown	5
leu	val	4
gly	abu	4
ser	abu	4
ile	val	3
val	ile	3
thr	unknown	3
asn	asp	3
leu	ile	2
asn	unknown	2
pip	pro	2
tyr	unknown	2
trp	unknown	2
unknown	ile	2
phe	unknown	2
tyr	bht	2
ser	met	1
tyr	pro	1
hyv	val	1
ile	leu	1
ser	asn	1
thr	gly	1
unknown	trp	1
abu	thr	1
aad	glycolic-acid	1
val	unknown	1
hty	unknown	1
pro	unknown	1
gly	unknown	1
leu	unknown	1
ala	gly	1
unknown	leu	1
dpr	asp	1
asp	unknown	1
unknown	glu	1
ser	unknown	1
dhpg	unknown	1
hpg	phg	1
